DOI,TITLE,PMCID
10.7759/cureus.7708,A Review of Salivary Diagnostics and Its Potential Implication in Detection of Covid-19.,PMC7164701
10.7759/cureus.7422,Gastrointestinal Infection Could Be New Focus for Coronavirus Diagnosis.,PMC7186097
10.7759/cureus.7355,"Coronavirus (COVID-19): A Review of Clinical Features, Diagnosis, and Treatment.",PMC7170025
10.7326/m20-1301,Diagnostic Testing for Severe Acute Respiratory Syndrome-Related Coronavirus 2: A Narrative Review.,PMC7170415
10.7326/m20-0533,Histopathologic Changes and SARS-CoV-2 Immunostaining in the Lung of a Patient With COVID-19.,PMC7081173
10.7189/jogh.10.010340,Ophthalmic manifestations of novel coronaviruses: precautionary measures and diagnostic possibilities.,PMC7179981
10.6061/clinics/2020/e1894,COVID-19 Diagnostic and Management Protocol for Pediatric Patients.,PMC7153362
10.5811/westjem.2020.1.46120,Scabies: Application of the Novel Identify-Isolate-Inform Tool for Detection and Management.,PMC7081864
10.5152/tud.2020.20119,"What do urologists need to know: Diagnosis, treatment, and follow-up during COVID-19 pandemic.",PMC7219975
10.4155/tde-2020-0035,"COVID-19 pandemic: an overview of epidemiology, pathogenesis, diagnostics and potential vaccines and therapeutics.",PMC7222554
10.3390/v12020211,Current Trends in Diagnostics of Viral Infections of Unknown Etiology.,PMC7077230
10.3390/mi11030306,2019 Novel Coronavirus Disease (COVID-19): Paving the Road for Rapid Detection and Point-of-Care Diagnostics.,PMC7142866
10.3390/jcm9030623,"Potential Rapid Diagnostics, Vaccine and Therapeutics for 2019 Novel Coronavirus (2019-nCoV): A Systematic Review.",PMC7141113
10.3390/diagnostics10040202,In Vitro Diagnostic Assays for COVID-19: Recent Advances and Emerging Trends.,PMC7235801
10.3390/diagnostics10030165,Point-of-Care RNA-Based Diagnostic Device for COVID-19.,PMC7151043
10.31616/asj.2020.0122,Advice on Standardized Diagnosis and Treatment for Spinal Diseases during the Coronavirus Disease 2019 Pandemic.,PMC7113464
10.2807/1560-7917.es.2020.25.16.2000421,"Serological assays for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), March 2020.",PMC7189648
10.2217/nnm-2020-0117,"Application of nanomaterials in treatment, anti-infection and detection of coronaviruses.",PMC7373208
10.2196/19054,"Detection of SARS-CoV-2 RNA and Antibodies in Diverse Samples: Protocol to Validate the Sufficiency of Provider-Observed, Home-Collected Blood, Saliva, and Oropharyngeal Samples.",PMC7184968
10.1515/cclm-2020-0443,Analytical performances of a chemiluminescence immunoassay for SARS-CoV-2 IgM/IgG and antibody kinetics.,
10.14309/ajg.0000000000000667,SARS-CoV-2 Gastrointestinal Infection Causing Hemorrhagic Colitis: Implications for Detection and Transmission of COVID-19 Disease.,PMC7172485
10.12688/aasopenres.13061.1,COVID-19: Are Africa's diagnostic challenges blunting response effectiveness?,PMC7205356
10.1186/s12890-020-1170-6,CT differential diagnosis of COVID-19 and non-COVID-19 in symptomatic suspects: a practical scoring method.,PMC7203713
10.1177/0846537120913033,CT Imaging and Differential Diagnosis of COVID-19.,PMC7140975
10.1128/mbio.00722-20,"Report from the American Society for Microbiology COVID-19 International Summit, 23 March 2020: Value of Diagnostic Testing for SARS-CoV-2/COVID-19.",PMC7157705
10.1128/jcm.00783-20,Clinical Evaluation of Three Sample-to-Answer Platforms for Detection of SARS-CoV-2.,PMC7383520
10.1128/jcm.00776-20,Saliva as a Noninvasive Specimen for Detection of SARS-CoV-2.,PMC7383524
10.1128/jcm.00599-20,Clinical Evaluation of the cobas SARS-CoV-2 Test and a Diagnostic Platform Switch during 48 Hours in the Midst of the COVID-19 Pandemic.,PMC7269406
10.1128/jcm.00512-20,Laboratory Diagnosis of COVID-19: Current Issues and Challenges.,PMC7269383
10.1111/ajt.15890,Novel Coronavirus-19 (COVID-19) in the immunocompromised transplant recipient: #Flatteningthecurve.,PMC7228206
10.1111/ajt.15874,Case report of COVID-19 in a kidney transplant recipient: Does immunosuppression alter the clinical presentation?,PMC7228209
10.1111/ajt.15869,Successful recovery of COVID-19 pneumonia in a renal transplant recipient with long-term immunosuppression.,PMC7228349
10.1101/2020.04.22.20074351,Resilient SARS-CoV-2 diagnostics workflows including viral heat inactivation,
10.1101/2020.04.09.20058651,Scaling diagnostics in times of COVID-19: Colorimetric Loop-mediated Isothermal Amplification (LAMP) assisted by a 3D-printed incubator for cost-effective and scalable detection of SARS-CoV-2,
10.1101/2020.02.22.20026617,A Peptide-based Magnetic Chemiluminescence Enzyme Immunoassay for Serological Diagnosis of Corona Virus Disease 2019 (COVID-19),
10.1097/paf.0000000000000567,COVID-19: Postmortem Diagnostic and Biosafety Considerations.,PMC7202125
10.1097/inf.0000000000002660,"Coronavirus Infections in Children Including COVID-19: An Overview of the Epidemiology, Clinical Features, Diagnosis, Treatment and Prevention Options in Children.",PMC7158880
10.1097/cce.0000000000000109,The Clinical Presentation and Immunology of Viral Pneumonia and Implications for Management of Coronavirus Disease 2019.,PMC7188425
10.1093/ofid/ofaa102,High-Dose Intravenous Immunoglobulin as a Therapeutic Option for Deteriorating Patients With Coronavirus Disease 2019.,PMC7111600
10.1093/infdis/jiz470,Predictive Value of Respiratory Viral Detection in the Upper Respiratory Tract for Infection of the Lower Respiratory Tract With Hematopoietic Stem Cell Transplantation.,PMC7107470
10.1093/cvr/cvaa106,"COVID-19 and the cardiovascular system: implications for risk assessment, diagnosis, and treatment options.",PMC7197627
10.1093/cid/ciz332,Etiology of Pulmonary Infections in Human Immunodeficiency Virus-infected Inpatients Using Sputum Multiplex Real-time Polymerase Chain Reaction.,PMC7108142
10.1093/cid/ciaa310,Profiling Early Humoral Response to Diagnose Novel Coronavirus Disease (COVID-19).,PMC7184472
10.1080/22221751.2020.1756698,Development of a reverse transcription-loop-mediated isothermal amplification as a rapid early-detection method for novel SARS-CoV-2.,PMC7301696
10.1080/22221751.2020.1752610,Significance of serology testing to assist timely diagnosis of SARS-CoV-2 infections: implication from a family cluster.,PMC7269047
10.1080/22221751.2020.1745095,Laboratory diagnosis of emerging human coronavirus infections - the state of the art.,PMC7172701
10.1080/22221751.2020.1738905,"Era of molecular diagnosis for pathogen identification of unexplained pneumonia, lessons to be learned.",PMC7144283
10.1080/22221751.2020.1735265,Diagnosis and clinical management of severe acute respiratory syndrome Coronavirus 2 (SARS-CoV-2) infection: an operational recommendation of Peking Union Medical College Hospital (V2.0).,PMC7103730
10.1038/s41581-020-0305-6,COVID-19: implications for immunosuppression in kidney disease and transplantation.,PMC7224161
10.1038/s41421-020-0151-5,Rapid detection of African swine fever virus using Cas12a-based portable paper diagnostics.,PMC7136273
10.1038/s41368-020-0080-z,Saliva: potential diagnostic value and transmission of 2019-nCoV.,PMC7162686
10.1021/acsnano.0c02823,Rapid Detection of COVID-19 Causative Virus (SARS-CoV-2) in Human Nasopharyngeal Swab Specimens Using Field-Effect Transistor-Based Biosensor.,PMC7172500
10.1021/acsnano.0c02624,Diagnosing COVID-19: The Disease and Tools for Detection.,PMC7144809
10.1021/acscentsci.0c00501,Assay Techniques and Test Development for COVID-19 Diagnosis.,PMC7197457
10.1016/j.trac.2020.115912,"Magnetic particles for integrated nucleic acid purification, amplification and detection without pipetting.",PMC7202819
10.1016/j.scitotenv.2020.140910,"Viruses in wastewater: occurrence, abundance and detection methods.",PMC7368910
10.1016/j.scib.2020.04.041,"Rapid and Sensitive Detection of COVID-19 Using CRISPR/Cas12a-based Detection with Naked Eye Readout, CRISPR/Cas12a-NER.",PMC7198415
10.1016/j.puhe.2020.07.011,Diagnostic value of combined nucleic acid and antibody detection in suspected COVID-19 cases.,PMC7351380
10.1016/j.micinf.2020.05.001,"Current development of COVID-19 diagnostics, vaccines and therapeutics.",PMC7200352
10.1016/j.micinf.2020.01.003,"Measures for diagnosing and treating infections by a novel coronavirus responsible for a pneumonia outbreak originating in Wuhan, China.",PMC7102556
10.1016/j.meegid.2020.104215,Pathogenic viruses: Molecular detection and characterization.,PMC7106233
10.1016/j.mcp.2020.101599,Sequence mismatch in PCR probes may mask the COVID-19 detection in Nepal.,PMC7233248
10.1016/j.jshs.2020.05.001,"Coronavirus disease-2019: A tocsin to our aging, unfit, corpulent, and immunodeficient society.",PMC7205734
10.1016/j.jpha.2020.03.001,Molecular immune pathogenesis and diagnosis of COVID-19.,PMC7104082
10.1016/j.jinf.2020.03.051,Serological immunochromatographic approach in diagnosis with SARS-CoV-2 infected COVID-19 patients.,PMC7195339
10.1016/j.jinf.2020.03.044,Effect of regular intravenous immunoglobulin therapy on prognosis of severe pneumonia in patients with COVID-19.,PMC7151471
10.1016/j.jelectrocard.2020.07.005,Evaluation of electrocardiographic ventricular repolarization variables in patients with newly diagnosed COVID-19.,PMC7373019
10.1016/j.jcv.2020.104442,A combined oropharyngeal/nares swab is a suitable alternative to nasopharyngeal swabs for the detection of SARS-CoV-2.,PMC7228872
10.1016/j.jcv.2020.104441,Investigating the genomic landscape of novel coronavirus (2019-nCoV) to identify non-synonymous mutations for use in diagnosis and drug design.,PMC7227581
10.1016/j.jcv.2020.104433,Real-time PCR-based SARS-CoV-2 detection in Canadian laboratories.,PMC7219382
10.1016/j.jcv.2020.104396,The diagnosis of pandemic coronavirus pneumonia: A review of radiology examination and laboratory test.,PMC7189856
10.1016/j.jcv.2020.104394,Comparison of four new commercial serologic assays for determination of SARS-CoV-2 IgG.,PMC7189838
10.1016/j.jcv.2020.104393,Clinical evaluation of an immunochromatographic IgM/IgG antibody assay and chest computed tomography for the diagnosis of COVID-19.,PMC7191278
10.1016/j.jcv.2020.104391,A RT-PCR assay for the detection of coronaviruses from four genera.,PMC7192118
10.1016/j.intimp.2020.106560,"Towards treatment planning of COVID-19: Rationale and hypothesis for the use of multiple immunosuppressive agents: Anti-antibodies, immunoglobulins, and corticosteroids.",PMC7205724
10.1016/j.intimp.2020.106504,"The diagnostic and predictive role of NLR, d-NLR and PLR in COVID-19 patients.",PMC7152924
10.1016/j.ijsu.2020.05.018,"Diagnosis and treatment of coronavirus disease 2019 (COVID-19): Laboratory, PCR, and chest CT imaging findings.",PMC7227548
10.1016/j.ijid.2020.03.065,Diagnostic value and dynamic variance of serum antibody in coronavirus disease 2019.,PMC7194885
10.1016/j.ijantimicag.2020.105955,"The epidemiology, diagnosis and treatment of COVID-19.",PMC7138178
10.1016/j.ijantimicag.2020.105950,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment.",PMC7118423
10.1016/j.idcr.2020.e00794,Successful intravenous immunoglobulin treatment in severe COVID-19 pneumonia.,PMC7229478
10.1016/j.glohj.2020.03.003,Interpretation of the diagnosis and treatment plan of Corona Virus Disease 2019 (tentative sixth edition).,PMC7148677
10.1016/j.glohj.2020.03.002,Interpretation of the diagnosis and treatment plan of Corona Virus Disease 2019 (tentative fifth revised edition).,PMC7148597
10.1016/j.eururo.2020.03.039,"Coronavirus Disease 2019 Pneumonia in Immunosuppressed Renal Transplant Recipients: A Summary of 10 Confirmed Cases in Wuhan, China.",PMC7166037
10.1016/j.ekir.2020.06.003,"Epidemiological, Clinical, and Immunological FeaturesÂ of a Cluster of COVID-19-Contracted Hemodialysis Patients.",PMC7282748
10.1016/j.eclinm.2020.100448,"Characteristics, risk factors and outcomes among the first consecutive 1096 patients diagnosed with COVID-19 in Kuwait.",PMC7335246
10.1016/j.diii.2020.03.014,COVID-19 pneumonia: A review of typical CT findings and differential diagnosis.,PMC7129663
10.1016/j.cdtm.2020.04.001,"Interpretation of the 7th edition of the ""diagnosis and treatment guidelines of coronavirus disease 2019 in China"": Progress and challenges.",PMC7177117
10.1016/j.bios.2020.112454,Diagnostics for SARS-CoV-2 detection: A comprehensive review of the FDA-EUA COVID-19 testing landscape.,PMC7368663
10.1016/j.bios.2020.112436,Human virus detection with graphene-based materials.,PMC7375321
10.1016/j.bios.2020.112214,Electrochemical biosensors for pathogen detection.,PMC7152911
10.1016/j.biopha.2020.110446,Strategies and perspectives to develop SARS-CoV-2 detection methods and diagnostics.,PMC7303646
10.1016/j.biopha.2020.110176,Occupational exposure to SARS-CoV-2 in burns treatment during the COVID-19 epidemic: Specific diagnosis and treatment protocol.,PMC7177133
10.1016/j.bbi.2020.05.002,"SARS-CoV-2: ""Three-steps"" infection model and CSF diagnostic implication.",PMC7199725
10.1016/j.aller.2020.05.003,SARS-CoV2 coronavirus: so far polite with children. Debatable immunological and non-immunological evidence.,PMC7332921
10.1007/s42058-020-00031-5,Progress and prospect on imaging diagnosis of COVID-19.,PMC7149076
10.1007/s15010-020-01438-z,COVID-19 in people living with human immunodeficiency virus: a case series of 33 patients.,PMC7211976
10.1007/s12185-019-02815-7,Immunophenotypic analysis of cerebrospinal fluid reveals concurrent development of ATL in the CNS of a HAM/TSP patient.,PMC7222977
10.1007/s11886-020-1254-1,Diagnosis and Management of Tuberculous Pericarditis: What Is New?,PMC7222865
10.1007/s10549-020-05667-6,Characteristics and outcomes of patients with breast cancer diagnosed with SARS-Cov-2 infection at an academic center in New York City.,PMC7220807
10.1007/s10096-020-03899-4,"The genetic sequence, origin, and diagnosis of SARS-CoV-2.",PMC7180649
10.1007/s00705-020-04566-x,Development of a rapid and sensitive europium (III) chelate microparticle-based lateral flow test strip for the detection and epidemiological surveillance of porcine epidemic diarrhea virus.,PMC7086788
10.1007/s00253-020-10645-5,Rapid and efficient detection methods of pathogenic swine enteric coronaviruses.,PMC7235545
10.1007/s00134-019-05906-5,Diagnosis of severe respiratory infections in immunocompromised patients.,PMC7080052
10.1007/978-1-0716-0211-9_7,Antigen Capture Enzyme-Linked Immunosorbent Assay for Detecting Middle East Respiratory Syndrome Coronavirus in Humans.,PMC7123003
10.1002/sim.8467,Evaluating the ALERT algorithm for local outbreak onset detection in seasonal infectious disease surveillance data.,PMC7169531
10.1002/jmv.25919,Evaluation of the auxiliary diagnostic value of antibody assays for the detection of novel coronavirus (SARS-CoV-2).,PMC7264661
10.1002/jmv.25800,Performance of VivaDiag COVID-19 IgM/IgG Rapid Test is inadequate for diagnosis of COVID-19 in acute patients referring to emergency room department.,PMC7228409
10.1002/jmv.25770,Diagnostic utility of clinical laboratory data determinations for patients with the severe COVID-19.,PMC7228247
10.1002/jmv.25755,A report of clinical diagnosis and treatment of nine cases of coronavirus disease 2019.,PMC7228316
10.1002/jmv.25727,Development and clinical application of a rapid IgM-IgG combined antibody test for SARS-CoV-2 infection diagnosis.,PMC7228300
10.1002/jmv.25721,Combination of RT-qPCR testing and clinical features for diagnosis of COVID-19 facilitates management of SARS-CoV-2 outbreak.,PMC7233289
10.1002/jmv.25702,Evolving status of the 2019 novel coronavirus infection: Proposal of conventional serologic assays for disease diagnosis and infection monitoring.,PMC7167054
10.1002/jmv.25674,Recent advances in the detection of respiratory virus infection in humans.,PMC7166954
10.1002/cti2.1136,Detection of IgM and IgG antibodies in patients with coronavirus disease 2019.,PMC7202656
10.1001/jama.2020.3786,Detection of SARS-CoV-2 in Different Types of Clinical Specimens.,PMC7066521
